ENSG00000000419	AR
ENSG00000000971	AD
ENSG00000000971	AR
ENSG00000001084	AR
ENSG00000001497	XLR
ENSG00000001626	AD
ENSG00000001626	AR
ENSG00000001631	AD
ENSG00000002822	AD
ENSG00000003137	AR
ENSG00000003393	AR
ENSG00000003400	AD
ENSG00000004455	AR
ENSG00000004487	AD
ENSG00000004766	AR
ENSG00000004838	AR
ENSG00000004848	XLR
ENSG00000004864	AR
ENSG00000004939	AD
ENSG00000004939	AR
ENSG00000004948	AD
ENSG00000004961	XLD
ENSG00000005073	AD
ENSG00000005102	AR
ENSG00000005156	AR
ENSG00000005302	XLD
ENSG00000005339	AD
ENSG00000005381	AD
ENSG00000005381	AR
ENSG00000005471	AD
ENSG00000005471	AR
ENSG00000005483	AD
ENSG00000005812	AR
ENSG00000005884	AR
ENSG00000005893	XLD
ENSG00000005961	AD
ENSG00000005961	AR
ENSG00000006016	AR
ENSG00000006042	AD
ENSG00000006071	AD
ENSG00000006071	AR
ENSG00000006283	AD
ENSG00000006451	AD
ENSG00000006530	AR
ENSG00000006611	AR
ENSG00000006638	AD
ENSG00000006695	AR
ENSG00000006715	AR
ENSG00000006744	AR
ENSG00000007062	AD
ENSG00000007062	AR
ENSG00000007168	AD
ENSG00000007174	AR
ENSG00000007312	AR
ENSG00000007314	AD
ENSG00000007314	AR
ENSG00000007372	AD
ENSG00000007402	AR
ENSG00000007541	AR
ENSG00000007933	AR
ENSG00000008018	AR
ENSG00000008056	XLD
ENSG00000008056	XLR
ENSG00000008083	AD
ENSG00000008086	XLD
ENSG00000008196	AD
ENSG00000008277	AR
ENSG00000008283	AR
ENSG00000008311	AR
ENSG00000008405	AD
ENSG00000008441	AD
ENSG00000008710	AD
ENSG00000008853	AD
ENSG00000009709	AR
ENSG00000009724	AR
ENSG00000009765	AR
ENSG00000009830	AR
ENSG00000009950	AD
ENSG00000010072	AR
ENSG00000010256	AD
ENSG00000010292	AR
ENSG00000010361	AD
ENSG00000010404	XLR
ENSG00000010610	AR
ENSG00000010671	XLR
ENSG00000010704	AD
ENSG00000010704	AR
ENSG00000010818	AD
ENSG00000011021	AD
ENSG00000011143	AR
ENSG00000011198	AR
ENSG00000011201	XLR
ENSG00000011275	AR
ENSG00000011295	AR
ENSG00000011376	AR
ENSG00000011405	AR
ENSG00000011426	AD
ENSG00000011465	AD
ENSG00000011600	AR
ENSG00000012048	AD
ENSG00000012048	AR
ENSG00000012061	AR
ENSG00000012174	XLR
ENSG00000012232	AR
ENSG00000012504	AR
ENSG00000012660	AD
ENSG00000012779	AD
ENSG00000012963	AR
ENSG00000013293	AR
ENSG00000013297	AD
ENSG00000013375	AR
ENSG00000013503	AD
ENSG00000013503	AR
ENSG00000013573	AR
ENSG00000013619	XLR
ENSG00000014216	AR
ENSG00000014641	AR
ENSG00000014824	AR
ENSG00000014919	AR
ENSG00000015133	AD
ENSG00000015133	AR
ENSG00000015171	AD
ENSG00000015285	XLR
ENSG00000015479	AD
